pkg_idx,verId:START_ID(Version),pkgId:END_ID(Package),source_name,target_name,source_version,target_version,kind,os_platform
143,102,145,matreshka_amf_utp,matreshka_league,18.1.0,18.1.0,BUILD,
143,103,142,matreshka_amf_utp,matreshka_amf_uml,21.0.0,21.0.0,BUILD,
143,103,145,matreshka_amf_utp,matreshka_league,21.0.0,21.0.0,BUILD,
145,104,135,matreshka_league,make,20.1.0,any,BUILD,
145,105,135,matreshka_league,make,18.1.0,any,BUILD,
145,106,135,matreshka_league,make,21.0.0,any,BUILD,
158,107,145,matreshka_xml,matreshka_league,21.0.0,21.0.0,BUILD,
158,108,145,matreshka_xml,matreshka_league,20.1.0,20.1.0,BUILD,
158,109,145,matreshka_xml,matreshka_league,18.1.0,18.1.0,BUILD,
144,110,145,matreshka_fastcgi,matreshka_league,21.0.0,21.0.0,BUILD,
144,111,145,matreshka_fastcgi,matreshka_league,20.1.0,20.1.0,BUILD,
144,112,145,matreshka_fastcgi,matreshka_league,18.1.0,18.1.0,BUILD,
138,113,145,matreshka_amf,matreshka_league,18.1.0,18.1.0,BUILD,
138,113,158,matreshka_amf,matreshka_xml,18.1.0,18.1.0,BUILD,
138,114,145,matreshka_amf,matreshka_league,20.1.0,20.1.0,BUILD,
138,114,158,matreshka_amf,matreshka_xml,20.1.0,20.1.0,BUILD,
138,115,145,matreshka_amf,matreshka_league,21.0.0,21.0.0,BUILD,
138,115,158,matreshka_amf,matreshka_xml,21.0.0,21.0.0,BUILD,
153,116,98,matreshka_sql_firebird,libfbclient,21.0.0,any,BUILD,
153,116,145,matreshka_sql_firebird,matreshka_league,21.0.0,21.0.0,BUILD,
153,116,152,matreshka_sql_firebird,matreshka_sql,21.0.0,21.0.0,BUILD,
153,117,98,matreshka_sql_firebird,libfbclient,20.1.0,any,BUILD,
153,117,145,matreshka_sql_firebird,matreshka_league,20.1.0,20.1.0,BUILD,
153,117,152,matreshka_sql_firebird,matreshka_sql,20.1.0,20.1.0,BUILD,
149,118,145,matreshka_spikedog_api,matreshka_league,20.1.0,20.1.0,BUILD,
149,118,146,matreshka_spikedog_api,matreshka_servlet,20.1.0,20.1.0,BUILD,
149,119,145,matreshka_spikedog_api,matreshka_league,18.1.0,18.1.0,BUILD,
149,119,146,matreshka_spikedog_api,matreshka_servlet,18.1.0,18.1.0,BUILD,
149,120,145,matreshka_spikedog_api,matreshka_league,21.0.0,21.0.0,BUILD,
149,120,146,matreshka_spikedog_api,matreshka_servlet,21.0.0,21.0.0,BUILD,
156,121,116,matreshka_sql_postgresql,libpq,21.0.0,any,BUILD,
156,121,145,matreshka_sql_postgresql,matreshka_league,21.0.0,21.0.0,BUILD,
156,122,116,matreshka_sql_postgresql,libpq,20.1.0,any,BUILD,
156,122,145,matreshka_sql_postgresql,matreshka_league,20.1.0,20.1.0,BUILD,
147,123,145,matreshka_soap,matreshka_league,21.0.0,21.0.0,BUILD,
147,123,158,matreshka_soap,matreshka_xml,21.0.0,21.0.0,BUILD,
147,124,145,matreshka_soap,matreshka_league,18.1.0,18.1.0,BUILD,
147,124,158,matreshka_soap,matreshka_xml,18.1.0,18.1.0,BUILD,
147,125,145,matreshka_soap,matreshka_league,20.1.0,20.1.0,BUILD,
147,125,158,matreshka_soap,matreshka_xml,20.1.0,20.1.0,BUILD,
139,126,138,matreshka_amf_dd,matreshka_amf,20.1.0,20.1.0,BUILD,
139,126,145,matreshka_amf_dd,matreshka_league,20.1.0,20.1.0,BUILD,
139,127,138,matreshka_amf_dd,matreshka_amf,18.1.0,18.1.0,BUILD,
139,127,145,matreshka_amf_dd,matreshka_league,18.1.0,18.1.0,BUILD,
139,128,138,matreshka_amf_dd,matreshka_amf,21.0.0,21.0.0,BUILD,
139,128,145,matreshka_amf_dd,matreshka_league,21.0.0,21.0.0,BUILD,
154,129,115,matreshka_sql_mysql,libmysqlclient,21.0.0,any,BUILD,
154,129,145,matreshka_sql_mysql,matreshka_league,21.0.0,21.0.0,BUILD,
154,129,152,matreshka_sql_mysql,matreshka_sql,21.0.0,21.0.0,BUILD,
154,130,115,matreshka_sql_mysql,libmysqlclient,20.1.0,any,BUILD,
