pkgId:ID(Package),name,pkgman
105,libgomp,Alire
106,libgpr,Alire
107,libgraph_easy_perl,Alire
108,libgsl,Alire
109,libgtk3,Alire
110,libhello,Alire
111,libhidapi,Alire
112,libiconv,Alire
113,liblua,Alire
114,liblzma,Alire
115,libmysqlclient,Alire
116,libpq,Alire
117,libpython2dev,Alire
118,libpython3dev,Alire
119,libreadline,Alire
120,libsdl2,Alire
121,libsdl2_image,Alire
122,libsdl2_ttf,Alire
123,libsimpleio,Alire
124,libsqlite3,Alire
125,libusb,Alire
126,libwayland,Alire
127,libx11,Alire
128,libzmq,Alire
129,littlefs,Alire
130,loga,Alire
131,lvgl_ada,Alire
132,lvgl_ada_examples,Alire
133,lvgl_ada_simulator,Alire
134,lzmada,Alire
135,make,Alire
136,mandelbrot_ascii,Alire
137,mathpaqs,Alire
138,matreshka_amf,Alire
139,matreshka_amf_dd,Alire
140,matreshka_amf_mofext,Alire
141,matreshka_amf_ocl,Alire
142,matreshka_amf_uml,Alire
143,matreshka_amf_utp,Alire
144,matreshka_fastcgi,Alire
145,matreshka_league,Alire
146,matreshka_servlet,Alire
147,matreshka_soap,Alire
148,matreshka_soap_wsse,Alire
149,matreshka_spikedog_api,Alire
150,matreshka_spikedog_awsd,Alire
151,matreshka_spikedog_core,Alire
152,matreshka_sql,Alire
153,matreshka_sql_firebird,Alire
154,matreshka_sql_mysql,Alire
155,matreshka_sql_oracle,Alire
156,matreshka_sql_postgresql,Alire
157,matreshka_sql_sqlite3,Alire
158,matreshka_xml,Alire
159,mcp2221,Alire
160,microbit_bsp,Alire
161,microbit_examples,Alire
162,minirest,Alire
163,minisamd51_bsp,Alire
164,minisamd51_example,Alire
165,msys2_runtime,Alire
166,ncursesada,Alire
167,nrf5x_hal,Alire
168,openglada,Alire
169,openglada_glfw,Alire
170,openglada_images,Alire
171,openglada_text,Alire
172,optional,Alire
173,partord,Alire
174,pico_bsp,Alire
175,pico_examples,Alire
176,pkg_config,Alire
177,play_2048,Alire
178,plplot,Alire
179,postgresql,Alire
180,progress_indicators,Alire
181,protobuf,Alire
182,pygamer_bsp,Alire
183,pygamer_simulator,Alire
184,raspberry_bsp,Alire
185,rclada,Alire
186,rclada_examples,Alire
187,remoteio,Alire
188,ros2_foxy,Alire
189,rp2040_hal,Alire
190,rsfile,Alire
191,rxada,Alire
192,saatana,Alire
193,samd51_hal,Alire
194,sdlada,Alire
195,security,Alire
196,semantic_versioning,Alire
197,septum,Alire
198,serverfaces,Alire
199,serverfaces_unit,Alire
200,servletada,Alire
201,servletada_aws,Alire
202,servletada_unit,Alire
203,shoot_n_loot,Alire
204,si_units,Alire
205,simple_components,Alire
206,simple_logging,Alire
207,slip,Alire
208,socketcan,Alire
209,spark_unbound,Alire
210,sparknacl,Alire
211,spat,Alire
212,spawn,Alire
213,spawn_glib,Alire
214,spdx,Alire
215,specfun,Alire
216,startup_gen,Alire
217,templates_parser,Alire
218,tiled_code_gen,Alire
219,tiny_text,Alire
220,trendy_terminal,Alire
221,trendy_test,Alire
222,unixodbc,Alire
223,uri_ada,Alire
224,usb_embedded,Alire
225,utilada,Alire
226,utilada_aws,Alire
227,utilada_curl,Alire
228,utilada_lzma,Alire
229,utilada_unit,Alire
230,utilada_xml,Alire
231,uxstrings,Alire
232,virtapu,Alire
233,vss,Alire
234,webdriver,Alire
235,weechat_ada,Alire
236,wikiada,Alire
237,win32ada,Alire
238,winpthreads,Alire
239,xia,Alire
240,xml_ez_out,Alire
241,xmlada,Alire
242,xoshiro,Alire
243,zeromq_ada,Alire
244,zipada,Alire
245,zipdcf,Alire
246,zlib,Alire
247,zlib_ada,Alire
